I.1 08.01.34,"Авіаційна, космічна та морська медицина.",Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.2 11.07,Авіаційна та ракетно-космічна техніка.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.2 11.07.14,Авіаційно-космічні тренажери та пілотажні стенди.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.2 12.13.07,Автоматизація технологічних процесів.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.2 12.13.06,Автоматизовані системи керування та прогресивні інформаційні технології.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.2 18.22.02,Автомобілі та трактори.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.2 18.22.11,Автомобільні шляхи та аеродроми.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.1 06.01.03,Агрогрунтознавство й агрофізика.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.1 06.03.04,Агролісомеліорація і захисне лісорозведення.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.1 06.01,Агрономія.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.1 06.01.04,Агрохімія.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
II.2 30.00.07,"Адміністративне право і процес, фінансове право.",Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.2 11.07.01,"Аеродинаміка, газодинаміка та процеси теплообміну літальних апаратів.",Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.1 01.04.06,Акустика.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.2 12.11.06,Акустичні прилади та системи.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.1 08.01.01,Акушерство і гінекологія.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.1 01.01.06,Алгебра і теорія чисел.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.1 02.00.02,Аналітична хімія.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.1 08.01.30,Анестезіологія та інтенсивна терапія.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.2 12.12.07,Антени та пристрої мікрохвильової техніки.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.1 03.00.14,Антропологія.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
II.1 21.00.04,Археологія.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.2 19.00,Архітектура.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.2 19.00.02,Архітектура будівель та споруд.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.1 01.03.01,Астрометрія і небесна механіка.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.2 12.11.19,Астрономічні інструменти та прилади.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.1 01.03,Астрономія.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.1 01.03.02,"Астрофізика, радіоастрономія.",Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.2 11.04.11,Атомне реакторобудування.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
II.1 22.02.06,Балтійські мови.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.2 10.26,Безпека життєдіяльності.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.1 05.00.05,Біогеографія та географія грунтів.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.1 03.00,Біологічні науки.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.1 03.00.30,Біологія розвитку.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.1 03.00.33,Біомеханіка.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.1 02.00.10,Біоорганічна хімія.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.1 03.00.20,Біотехнологія.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.1 03.00.02,Біофізика.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.1 03.00.04,Біохімія.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
I.2 20.02.21,Боєприпаси.,Державний класифікатор видів науково-технічної діяльності (ДК 015:97),ДК 015:97
